"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
-0.0113445400812677,0.00793228546478649,-0.0268915339073398,0.00420245374480434,"egoX_gender_m_fd","model_5","Summary",0.152667387788586,0.000319367806606234,0.105634442186032,17,"REML","static","maintenance"
0.0116312883471943,0.019537329158993,-0.0266611731585361,0.0499237498529248,"altX_gender_m_fd","model_1","Summary",0.551618453374046,0.0024728603886383,0.0349598579776849,17,"REML","static","maintenance"
-0.000193788833280698,0.0129340688156555,-0.025544097885528,0.0251565202189666,"altX_gender_m_fd","model_2","Summary",0.988045885984445,0.00083420704169957,0.10311002384523,17,"REML","static","maintenance"
0.0029916172751944,0.0136089216309635,-0.0236813789899222,0.029664613540311,"altX_gender_m_fd","model_3","Summary",0.826005383920681,0.00101056515793309,0.0851661036870465,17,"REML","static","maintenance"
0.0101233543424855,0.0167939700628596,-0.0227922221381632,0.0430389308231342,"altX_gender_m_fd","model_4","Summary",0.546643759771223,0.00178648480418215,0.0351425499727544,17,"REML","static","maintenance"
-0.000412936949206564,0.00959150109403745,-0.0192119336511965,0.0183860597527834,"altX_gender_m_fd","model_5","Summary",0.965659779383937,0.000805347682776518,0.0032263000172638,17,"REML","static","maintenance"
0.263620777055294,0.0296507453677597,0.205506384019717,0.321735170090871,"egoXaltX_gender_m_sd","model_1","Summary",6.06349588250515e-19,0.00563082693039252,0.019137182853676,17,"REML","static","maintenance"
0.11285975938861,0.0204342448869867,0.0728093753588445,0.152910143418376,"egoXaltX_gender_m_sd","model_2","Summary",3.33127448231882e-08,0.000749079952179743,0.246590403655223,17,"REML","static","maintenance"
0.135462937642748,0.0221879359760414,0.0919753822384259,0.178950493047069,"egoXaltX_gender_m_sd","model_3","Summary",1.02638692944845e-09,0.00196883116348027,0.118222870362643,17,"REML","static","maintenance"
0.183598451215883,0.0244689513442613,0.135640187841668,0.231556714590098,"egoXaltX_gender_m_sd","model_4","Summary",6.22198682065248e-14,0.00313180348062184,0.0546771865757721,17,"REML","static","maintenance"
-0.000395478950626168,0.000792340199911289,-0.00194843720595556,0.00115747930470322,"egoXaltX_gender_m_sd","model_5","Summary",0.617689416481684,0,0.791688209809425,17,"REML","static","maintenance"
0.0526635469999618,0.00669067855505572,0.0395500579999181,0.0657770360000055,"recip_fd","model_0","Summary",3.51306803025452e-15,0.000143827426904924,0.445201919029488,17,"REML","dynamic","creation"
0.0382420950009987,0.00546939129469219,0.0275222850460451,0.0489619049559523,"recip_fd","model_2","Summary",2.70955648397372e-12,8.43556710519759e-06,0.689113490845746,17,"REML","dynamic","creation"
0.0284745108987383,0.00333283327049175,0.0219422777220977,0.035006744075379,"recip_fd","model_3","Summary",1.30064438523968e-17,3.53358795599159e-05,0.189070056037054,17,"REML","dynamic","creation"
0.0335622046498042,0.00405940624769306,0.0256059146057089,0.0415184946938995,"recip_fd","model_4","Summary",1.3649705531599e-16,9.14279962081847e-05,0.0625979411334386,17,"REML","dynamic","creation"
0.0157119083556954,0.00123441367092532,0.0132925020186579,0.0181313146927329,"transTrip1_fd","model_0","Summary",4.12044065993395e-37,0,0.464270368625046,17,"REML","dynamic","creation"
0.0140413646088721,0.00128059536643864,0.0115314438118835,0.0165512854058607,"transTrip1_fd","model_2","Summary",5.64775377035173e-28,0,0.8338342098322,17,"REML","dynamic","creation"
0.0118838051573469,0.00103543504819479,0.00985438975455459,0.0139132205601391,"transTrip1_fd","model_3","Summary",1.7192554413273e-30,0,0.636887778503418,17,"REML","dynamic","creation"
-0.00327058570308501,0.00635920522460657,-0.0157343989136128,0.00919322750744281,"interaction_sd","model_0","Summary",0.60703715498674,0,0.997904377588208,17,"REML","dynamic","creation"
-0.00479903979006231,0.00625849410918835,-0.0170654628415276,0.00746738326140295,"interaction_sd","model_2","Summary",0.443197917816379,0,0.997934864154016,17,"REML","dynamic","creation"
0.0210038168062499,0.00373864369636627,0.0136762098103443,0.0283314238021555,"X_primary","model_1","Summary",1.93145665895901e-08,5.2824096453391e-05,0.243851556527503,17,"REML","dynamic","creation"
